true,pred,count
drama,a,1888
drama,r,992
drama,d,991
drama,m,991
comedy,a,914
horror,r,880
moving relationship stories,a,708
horror,a,674
thriller,a,668
comedy,d,650
comedy,m,650
crime,a,650
romance,a,592
thriller,r,505
comedy,r,503
crude humor and satire,a,502
humanity and the world around us,a,485
touching and sentimental family stories,a,448
powerful stories of heartbreak and suffering,a,446
horror,o,425
action,a,404
crude humor and satire,d,401
crude humor and satire,m,401
horror,m,400
horror,d,400
the undead and monster classics,r,393
moving relationship stories,d,367
moving relationship stories,m,367
intense violence and sexual transgression,a,366
thriller,d,365
thriller,m,365
crime,m,363
crime,d,363
crime,r,362
moving relationship stories,r,360
twisted dark psychological thriller,a,360
twisted dark psychological thriller,r,356
gags,a,354
jokes,a,354
and slapstick humor,a,354
romance,d,343
romance,m,343
adventure,a,343
terrifying,r,337
haunted,r,337
and supernatural horror,r,337
emotional and touching family dramas,a,330
gory,r,328
gruesome,r,328
and slasher horror,r,328
laugh-out-loud relationship entanglements,a,326
heartbreaking and moving family drama,a,326
fantasy,a,323
science fiction,a,310
funny jokes and crude humor,a,304
romance,r,299
gags,d,299
gags,m,299
jokes,d,299
jokes,m,299
and slapstick humor,d,299
and slapstick humor,m,299
the undead and monster classics,a,294
intense violence and sexual transgression,r,290
action,r,283
crude humor and satire,r,281
quirky and endearing relationships,a,278
relationship comedy,a,268
mystery,a,262
action,m,261
action,d,261
terrifying,a,260
haunted,a,260
and supernatural horror,a,260
epic heroes,a,259
surreal and thought-provoking visions of life and death,a,254
humanity and the world around us,d,253
humanity and the world around us,m,253
funny jokes and crude humor,d,250
funny jokes and crude humor,m,250
creepy,r,250
chilling,r,250
and terrifying horror,r,250
gothic and eerie haunting horror,r,249
humanity and the world around us,r,247
adventure,m,247
adventure,d,247
laugh-out-loud relationship entanglements,d,236
laugh-out-loud relationship entanglements,m,236
gory,a,236
gruesome,a,236
and slasher horror,a,236
touching and sentimental family stories,m,236
touching and sentimental family stories,d,236
science fiction,r,235
charming romances and delightful chemistry,a,234
amusing jokes and witty satire,a,232
powerful stories of heartbreak and suffering,d,231
powerful stories of heartbreak and suffering,m,231
captivating relationships and charming romance,a,230
passion and romance,a,230
touching and sentimental family stories,r,224
powerful stories of heartbreak and suffering,r,223
superheroes in action-packed battles with villains,a,222
comedy,o,221
fantasy,d,216
fantasy,m,216
mystery,r,216
history,a,210
adventure,r,208
suspenseful crime thrillers,a,200
challenging or sexual themes & twists,a,198
gags,r,197
jokes,r,197
and slapstick humor,r,197
twisted dark psychological thriller,d,197
twisted dark psychological thriller,m,197
dreamlike,a,196
quirky,a,196
and surreal storytelling,a,196
comedy,e,195
fantasy,r,194
comedy,c,193
comedy,y,193
emotional teen coming-of-age stories,a,192
the undead and monster classics,o,191
animation,a,189
intense violence and sexual transgression,d,188
intense violence and sexual transgression,m,188
relationship comedy,d,187
relationship comedy,m,187
science fiction,d,185
science fiction,m,185
amusing jokes and witty satire,d,183
amusing jokes and witty satire,m,183
enduring stories of family and marital drama,a,182
drugs and gangsters,a,182
horror,h,181
underdogs and coming of age,a,180
family,a,180
thrillers and murder mysteries,a,180
quirky and endearing relationships,d,175
quirky and endearing relationships,m,175
emotional and touching family dramas,d,175
emotional and touching family dramas,m,175
epic heroes,r,175
politics and human rights,a,174
the undead and monster classics,m,174
the undead and monster classics,d,174
family,m,173
family,d,173
emotional and touching family dramas,r,171
heartbreaking and moving family drama,d,168
heartbreaking and moving family drama,m,168
funny jokes and crude humor,r,166
heartbreaking and moving family drama,r,166
crude humor and satire,o,166
epic heroes,m,165
epic heroes,d,165
powerful poetic and passionate drama,a,164
laugh-out-loud relationship entanglements,r,163
gothic and eerie haunting horror,a,162
gory,o,159
gruesome,o,159
and slasher horror,o,159
high speed and special ops,a,158
creepy,a,158
chilling,a,158
and terrifying horror,a,158
animation,m,157
animation,d,157
superheroes in action-packed battles with villains,r,157
intense political and terrorist thrillers,a,156
intriguing and suspenseful murder mysteries,a,154
crude humor and satire,e,153
mystery,d,151
mystery,m,151
terrifying,o,151
haunted,o,151
and supernatural horror,o,151
crude humor and satire,c,150
crude humor and satire,y,150
violent action,a,149
guns,a,149
and crime,a,149
catchy songs and hilarious musical comedy,a,144
gripping,a,144
intense violent crime,a,144
superheroes in action-packed battles with villains,m,143
superheroes in action-packed battles with villains,d,143
terrifying,d,143
terrifying,m,143
haunted,d,143
haunted,m,143
and supernatural horror,d,143
and supernatural horror,m,143
noir and dark crime dramas,a,142
emotional and captivating fantasy storytelling,a,142
explosive and action-packed heroes vs. villains,a,140
quirky and endearing relationships,r,139
music,a,138
gory,d,137
gory,m,137
gruesome,d,137
gruesome,m,137
and slasher horror,d,137
and slasher horror,m,137
kids' animated fun and adventure,m,137
